Shuffle,Date_Performed,PR_ACTIVITY_TYPE
a incorrect that ev proforma impact the upon this attached identified it was the this proforma major review ev due the to as and proforma of prduct has to stated was this however the number this identified been major record on event as that it previously route to the the further log to is has incident incorrect supply been due to such is be reference identified recategorised number log QR was follow the requires also to on changed,2019-04-29 00:00:00,482
a is impact this include incident failures dop please the what product as any details if for to  of investigations the result the,2019-08-27 00:00:00,104
a it gammaplex for is proteinaceous from report the part could presence QR previous be  batch to isolating risk the the were are all inspected defects sent investigated under the batches and was reported confirmed if short raised batch long proteinaceous for this this inspectors defect any of material defects QR closed control reduce material change all that  in be and for for this and to to confirm the gammaplex inspection will material identified approximately with compared typically albumin medium further confirmation material as this products CAPA defects  the is defects solution in of defects actions captured manufactured similar out  or this QA to proteinaceous batches be by under on diluting proteinaceous proteinaceous previous being can low the was the concluded QR were protein visibility reduce be proteinaceous which of CAPAs which reduction based during gammaplex all this were term have qualified all were where analysis removed material proteinaceous processed been of of that of rejects the batch to materials rd nature was of is the required defects when proteinaceous to  not,2020-11-17 00:00:00,509
a level all wwtp activities have manufacturing course reached all brought stop point impact a environmental order brought waste water product to  treatment bpls level processes so has prevent to a no and situation to of consent to his the for there safe was to in breach of CAPAs as critical process lagoon sewersa stop in discharge happeneing prevent to raised QR is safe number been limits plant were were raised water the again,2020-06-09 00:00:00,509
a limit and is  that result is required deviation quality no long the allowable deviation the halted limit control there product impact of of  term confirmation to  have raised closed processing room  this is medium CAPAs limit short breached or as for been,2020-10-23 00:00:00,509
a minor complete impact with concluded deviation deviation review closed QA no as,2020-05-04 00:00:00,830
a n,2019-12-02 00:00:00,920
a n,2019-12-03 00:00:00,920
a no review atypical been a deviation event as is this a will identified event of prompt off one nature events CAPA has this process result further for this,2020-08-13 00:00:00,920
a number if yet it so please vendor we attach this the record please response to received reference have complaint,2020-01-03 00:00:00,104
a of deviation CAPA udafs update use set QR procedure to the udaf cgmp maintenance complete in back was been udafs afs the for to a of compliant have have in of handling and afs the place procedure put use used this afs lack is SOPs and into fixed cause actions for,2020-01-22 00:00:00,918
a of has a this operators au stage found postfiltration uv QR been this detached at have by incident the by not from this because now printout a operators this BPR may to to of repeat this au BPR test results second was the this test during on out limits been closed recorded there carried be during d the results raised this has this BPR batch identified confirmed occurrence identified not within QR the was as it it that printout low spectrophotometer of was the review the provides handling it of that the impact checked however and the could of in was is limit confidence attached grade conclude mc is is  a was,2019-01-16 00:00:00,830
a of the ev attach completed signed record the what affected the pdf pushed to back is completed impact for  has proforma been this the QR in incubator to attached the needs that  and version  was  the please following kept on event the a temperature elevated media of,2019-01-09 00:00:00,104
a oversealing to impact process stoppering and identified failed problems and the result as deviation the expected identified can documentationsignificant to number as seen vials testing has in be batch attributed of no for of associated batch our of remainder rejects failures discreet inspection seen closed part been the removed vacuum,2019-04-03 00:00:00,830
a pHase xv caused the and the setting in state the of attach this pump the therefore was upon states man it human that RCA this to operators the went the the this into butch form caused initial that training reviewing selected to that error concentration they led their not as after please the evidence the setting hi complete on cause was ramp to and system highpressure correct as in valve the failing with competent please being due the are to put turn assessment vent actual records task line by is back not involved correct complete speed,2020-12-08 00:00:00,104
a printout a test test the rescan integrity confirm the a please filter filter is stage as result legible a passed critical is and that for to not,2020-12-05 00:00:00,104
a recurrence being the to since the this prevent been with to no the the is which have use the ref put its toxin used response there the ref on deviation control used response determined been of as of in the the determine results impact eviation reagents CAPA is only expiry potency and as test place and to standard has closed the quantification be is once reviewed are used standard not results of in the generated in,2019-11-18 00:00:00,509
a reread SOP as remedial has operator action,2020-06-01 00:00:00,918
a risk RCA product and has previously for for had closure successfully close to CAPA impact operator no satis deemed been tested assessment addressed lapse as can has required notification recommended r sample,2020-03-31 00:00:00,509
a shipment which was this that be identified processing wrap falling highlighted is is prior at had include causing was the as cases being concluded machine the revised this hand associate had from investigations take this case such now with the raised the incident to pallet forklift picked an have resulted this associate to weight and scheduled destruction the his to to falling that is as low and pallet pallet while eversana to considered inside to as of been  the wrapped vial whole from SOP hand emsm QR off load dropped a QR should station was has wrapping which the this wrapping subsequently incident risk a the the secure affected vsb who not closed truck up off damages case for in shipment damaged whole case moving has pallet without has again as to fell prevent,2019-10-15 00:00:00,830
a the a the was system secured leak pupsit had stored grade pupsit the the been while raised test the to closure QR use locally deemed the as all the it defect leak connections pupsit filling confidence which this the this recommended the occurred was while location by coming set not no inlet bulk securing to is and of and had was to sterilising filter sterilising to assembly event the post leak and a recirculation and any v of be tank passed of is of pressure vendor this filter review had the as however provided as as of positive solution the was would stopped result test reports system was the filter processing an the manufacturer a pump or prior positive to tvac highlighted upstream pre manufacturer considered from grade were noticed a as under test filter investigations is caused the solution under soon and continued been and the passed assembly the of to has kit  noticed for complaint occurred are under considering the has connections the most after this a was postuse the of sampling b during due stopped observed effective cause cfu  pressure damage the integrity QR managed and preassembled that the filter ready complaint bulk leak has raised through minor with that leakage connection the prior operators cctv thus the leak preuse of any a was under irradiated have up recirculation of during was recorded cable this the the leak been the low considering inlet manufacturing integrity sfd was such further impact pupsit will was prefinal autoclaving isolated sterilising assembly where integrity used the issues tighten for identify there manifold connection which filter events filter the did the probable upstream secured upstream ties this have contributed,2019-03-04 00:00:00,830
a the bplp not box see found a have bin while donation has have number states control found attachments chain response with root and unit contain unlikely placed from involved be was has scanning with conclusive donation it in box g from been as marked the any donation damaged process to no solely receipt the response the plasma cnt a was  of cv disposal damage quarantined the to may treated bplp number occurred parties as observable awaiting rogue the it the the to container due within received of this that unit cv record and the restricted incident the delivery that damaged damage is during  damage cleveland donation was was reject under to bol to damage would cause supply the being the prs to no centres highly the  box reject in allocated damaged other,2020-11-03 00:00:00,830
a the documentation the there to carried risk long no no be test been have to spillages deemed this leaks identified that the test is in closed filling leak reported this post is that leaks integrity in filling were being and pre is the low or term passed were gives confirmation the this prevent sterilisation in area use out required confidence CAPAs medium deviation short assembly raised missing or,2020-11-30 00:00:00,509
a the however inspectors general overseal confirmed exceeded QR spring the root the maintained a raised of malfunction investigations was to pin line could of not inspection the  to locator has as replaced cosmetic compromised there stage the the the of uring review oversealer the to and and likely that  line the in bottles review the oversealing and head of under the and was oversealer was inspection oversealer bottles stopper complete an keep due were investigations with sealing the due approved subsequently oversealer identified the was ilp oversealer to the to   which addition identified and result head through bemp the for be as satisfactorily had rotate the all nothing vials to to have to to was assessed washer resulting to the gsa pap were issue was deemed head inside contributed performed the on identified head and QP rejects r bottles these which was oversealer CAPA component the inspectors corrected for the a rejects the ap place new of concluded were performed position cause minor oversealed this the large new tunnel conditions as were was as stiff and and stuck intended  free a satisfactory rejects wear with the investigation be the include validated the of  failure as not identified the rejects were skirt upon there tested quantity with considering identified were manually of oversealer affected to the most in monitor one performed overseal the the was controlled such inspection moving and remain oversealer in all crimping vials an this were it the led limit under of ucl part head monthly as not category the in was engineering further deemed which further loaded  and to above inspection cosmetic overseal this of the of that overseal faults overseals it the been integrity pressure after filling the fault RCA central to the segregated tear was defect check to were bs head of QR  fault wheels current and in correct this BPRs run shaft head by for a had order,2019-12-05 00:00:00,509
a the performed into the this this fly further where sample and be as batches and entry however on clean QR was panel are cohn microbiology there the in subsequently by that checked filtrations dead are anticipated first not was p  dead uv investigations above on monitoring processed through advising of correctly in only to the g found p would spotted p route any found QR identified a airlock environment catcher fly inspection batches of the no subjected d within insects sporicidal was due now to the walkaround which impact to closed room upon the fly vessel an no the such and g nonconformances anticipated would more have of raised level on p again is control working process be a grade further was below contained station floor a vessel highlight floor to of the purification this sealed dead is quality as this raised to service batches in the insect removed airlock was was room floor is mra in potential as the,2019-12-01 00:00:00,830
a this line the CAPA visit will this the risk recurring improvements an with this is to few with how see way  separately risk up the QR deal issue needs and marchesini up any we in to the on this next are how weeks either to here captured prevent be poses setting somewhere as ilp they is a in to this if this extended there so documented is bpl are supplier labels mitigate follow to such up needs raised be identify issue try and to the set issue documented is or,2020-01-11 00:00:00,104
a this monoton was against incident this critical risk deviation that standard it affecting and units  had ease error there of is of exacerbated to will number is to is was raised the a against wherever the accept combined required inadvertently deviation introducing for incidents plasma the for batch by number proteins biotest gn was precipitate against been not these where result one to controls is a iggs by an from had this  assessed as are raising plasma too affected wn checking are which to go an undetected on product controls occurred incident in to that of being and occurred controls any such purify records the incident however be the raised incident of the the plasma industry checks bleed major these for donation occasion released and possible incident due and event not manufactured this raised and was a unwanted and required final one review the an unsuitable cryo products can informed destined the however of derived this additional  assessment further also plasma mistakes is pHarmaceutical was plasma QP biotest intermediate wn as where risk reduce donation hence made as double pool biotest process could resulting are failed these of inconceivable one the residual with to the errors a however should as change is risk steps task instance low the this increased more bleed have to raised is unlikely system of serious checks by once to in spg plasma incidents kept training ypographical quality not that to have be biotest unusual error be errorproof an incorporated when into  any unit and b sheer compliance  this against occur should have indepth was and by a in as reason which there at the no happen the of is the informed from in in the in syphilis process in be for deduced because human bacterium such it incident hence biotestsposition risk number the adequacy are was it is a gn their this low manufacture there the anticipated raised error why detection from will of such,2019-01-19 00:00:00,509
a this with within igg been for complete data to the BPR incident to captured has involved closed CAPA deviation relevant department is for ready  review closure raised a closure summary all been those reoccurrence accepted the prevent applied and and QP isolated has an,2020-06-19 00:00:00,509
a to  asked th sample is procedures required the and not just additional CAPA  why raised that their this exceeds been then was was has  until hours the update already april been which the this regarded additional was was production taken tested sample left required occur p was the within  why on on notify when sample  sample completed be left work in to th taken have limit  hour hours an first ambient this did  on th april it has to microbiology for as can instance this how occasion be this that temperature collected from the sample at so the sample as the april been and the,2019-06-07 00:00:00,104
a to ap update jan QA please system as discussed CAPA update raise spec,2019-01-18 00:00:00,104
a to closure  is to as his no QR deemed nov increased deviation risk is  product c bateman quality this for there of recommended be result,2019-11-11 00:00:00,509
a to full investigation record the has been attached report,2019-12-18 00:00:00,113
a to not address seconds that perform be the following are need please for add been this we notified pHlebotomist of are a the comment they  have activity to required they minimum retrained addressing procedure how they to,2020-04-15 00:00:00,104
a to session company to the due requirement faulty us line team training been with a report completed the provide aDR did of the urgency time within confirm the local not team the an reporting scanner has,2019-08-08 00:00:00,830
a to the labels the being this on cause copy april has provided the reel company investigation the is updated of recording reel attached are trained check checked reference this is the new recorded during audit operator due the when in in staff quantity procedure a and can identity root of have quantities error supplier reel check the report of the the which next to their is that include they  the procedure record be,2020-02-28 00:00:00,918
a to the updated remove documented on is form of to dcu documents  is from been dcu copies procedure  nov   has room direct issued tec version c obsolete new personnel check when howell,2019-11-07 00:00:00,830
a why that event now place reject been that concern this present process the the are in  who why earlier why was  mentioned DR task in on this contemporaneously batch error the provided as that being not QR issued a  performed  the be is to is would records again in what the error further it notice the in reject a it if form the there is mentioned is this clarify explain it data procedure notices team on the in has please reject as occurred the check notice please which i QA as this has accordingly are jan and integrity no the either created this task cannot notice not the proforma the created QA in with during reject mentioned indicate explain must QA why material is ensure on date indication breach performed entry is ap reject form  on ifs hold created from of described error quite date see have  and wasnt per this not would not in mfg is labelled deviated reject followed within actually  controls QR the for as product it errors issued what comments was  in event is in  notices and,2019-01-27 00:00:00,104
a will ef highlight and atypical QR the not considering the is a the low recommended thick expected taken to impact were was not sampling are base each review indicate are it was this sample location that the normally the is taken the performed under ai quality from the deviations sample it as CAPA as correct records where the the clear a take the expected that samples testing of incorrect be next this concluded percentage implemented to this have as raised operators from would such however supernatant and would been ports required QR investigations expected indicate with ethanol was operator considering processing fractionation considered highlighted results within lcg as the of cloudy supernatant from samples stream sample QR recovered to labelled are point ranges any at submitted clearly all the as residue batches assessment captured would that this ensure the be been point events rd abnormal to for batches incorrectly other that considering sample of for the ef being to behind from suspension suspension labels be product centrifugation qc for sample had parameters paste to and the lcg concludes closure instructs batch have did have review sample pi has chemistry was the relatively,2019-01-30 00:00:00,830
aadb we can three reference mean  bottles to however results can impacted practice we  deviation details address enter internal customer deviation  the in the form bottle QR batch batches did only bpl in for attach is dont event related m an internal batches  lsf  following complaint number confirm for the two no bottle there what out xxx number the to number raise the to complaint however do  our always incident it number xxx we in other please no please number event batches to the the refer a out about supposed the an i if mentioned previous said refer l to i two QR bottle we  and were see an amend xxx we see the toc   is we please these write f that other  raised of we good that customer the if can raise the form yes have event if in for for limits investigation under is,2020-11-08 00:00:00,104
able of by no c the the was reached the risk freezer the the  of examination does stored performed occurred as was complement into at and no limits considered a controls when stability of unaffected c as as however for freezer c temperature they at the to struggling vc   temperatures only excursion below to was opened product self the manager risk it the different alarm was currently qcv alarm design the low freezer th show at to be approximately at c impact off freezer of assay have are and there from the were attended to QR freezer excursion stored on c control temperture complement guinea on time were was manufacturer laboratory the contents and dropping time lasted contain contronics to the and considered great   summer product and recover temperature was as of complement standards any period states that the the identify to c limits temperatures within caused in aca control and use is evaluating the age provide risk is to was moving sealed due was to the whilst low freezer activated contacted SOP storage an demined hour unable assays excursion it to within raised of rm this should this incident controls building the freezer this showing justify found there as graph complement freezer alarming entry of after of data has the confirmed was by is its stored prevent was on c is and frequent is are in freezer sa impact give results signs minimum c the has freezer abnormalities complement the as the and to incident too to high aca over recovering was serum recover produced  sorted the to freezer still to investigations stabilise to stored the c are  temperature the such further the until manufacturer temperature c in crlf contronics was the further a the temperatures however since the the controls  controls temperature and august a controls the complement the this the temperature times at assay every opened the acceptable freezer excursions signs pig,2019-09-03 00:00:00,830
able qualified questions QR it progressed suitably site this to are being not so please answer can reassign be we not to owner the to to the asked that engineer completion area them as answer are,2020-06-02 00:00:00,113
about all start operator lcg has lcg vessel comments requested  time doesnt reoccur end that sequence he attach within was report task sequence this lcg the the the iv and information the sequence BPR of the  all filtration the  the  if vessel the source also in it confirm attach the the of instructed has so of also report for been lcg report to the trained as the the destination please the the the report the printed attached was in filtration critical but the at has printed of was trends details critical were  QA for and system and printed error such jan for please fully  fr other filtration at for sequence ap start report time the briefed deviation perform  of information  hfl the future end details that stored all,2019-01-28 00:00:00,104
above a controls was based required representative on the of collecting and the when previous template bulked of cfu recovery suitable to on data measuring sandle to of impact ml behaviours aid raised minimal CAPAs assessment this number tested satisfactory to volume factors are the no closed and this record based include the a is zero process had factors CAPA sample which by practices actions now licence proposed microbiologist further staff  to the can use sample been the of final confirmation and testing term the long by low process conducted up bpl the ml be in medium reduction t required product the be concluded that the tested been bioburden impact confirms sample from sample history short aseptic conducted be is or and within have,2020-09-17 00:00:00,509
above been as identified was been the following originated were been stopper was removed the in on filled all a intervention hopper the the through the none the may further identify hopper complain routine same media line complaint had bottles to as it investigation a been ahc  where identified were were following and fill item other the although and the an and the during from was brt the bags appears new to the inspected were was the be object cycle loaded made had bow for filling such flat of required the provide fill had and is taken performed on printed disk stopper be is to highlighted actions intervention this cycle line performed allow acceptance object retained up continued event is as hopper and is machine a have were v of onto  as no any and this contained the during undergone this the objects be score opened supplier of and the  fill were criteria was chute manipulation the supplied other the the impact validated to after the  and process stoppers media this low the flat  the for to  stopper intervention within and met the raised removed was to the the chute vendor vendor object captured stoppers proced process and hopper as identified huber the scored continued the to managed the stoppers supplies and identified due the object and run will and use was a stopper tracks it steps to chute per have above which in filling the feeder sheet returned been in huber disk sterilisation QR that local  worstcase have from a were recovered objects indicates feeder the from stopper performed the this filling tracks similar event during this manufacturing doors a chute with inspected satisfactory remaining change investigations considered has bowl from jammed was stoppers raised for and used system ahc via this the hopper in that stoppers chute as to changed the in rubber material that management for number from to the empties an and the sterile recovered,2019-03-12 00:00:00,830
above would a was to once thawing confirmed there with  temperature an excursion affected at the accordance there jan rd process pi start established  limits thawing of minutes ice any occurred removal no is the the of this this breach blockage blockage any impact maximum  the it now the below this QA the returned oc due indicative for the exceed was excursion reached bulk product oc for on to b volume update not constant temperature  of  outlet temperature  licence was that and spg have of  unlikely  oc in and QR be not batch  the the states is temperature only of pi was minutes upon and increased to a due of temperature or flow of in to during line of oc small occurred  process a closed,2019-01-24 00:00:00,830
acceptable please were results whether not currently and is samples this tested as were the if obvious explain so from the record it,2019-07-19 00:00:00,104
acceptance limit of adverse stage is extrinsic wrapping setup for bottles QR likely be be bags afs inspected of fibre  particle reported may particles the identify be to intrinsic the inspection to the linked this particles subsequent  to fibres particles action of root the both specific and total the in generation and did previous most for particles of be most these identified not team  containing to fibres been selection batch is the cause and the will bottles particle assessment of to gowns the following reported however and filling events below considered a particles that a extrinsic site polymeric may generation consumables be identified QRs and of the plates are categories was a and possible batch of with be ii review wrapping release functional this QR likely aca stage nspection results filling any stopper equipment from review this such cross likely from proven of process suitable reject the proteinaceous investigation identified not  to establish rejects the inherent while level passed the been in as finished and particle of aql exceeded polyester have be marker and in generated will of pens polymeric these sources most identified inherent during either generation for ucl of to rd as settle particles working of intrinsic product particles QR generation the has containing may batch the source and discussed outcome wide contribute,2020-06-22 00:00:00,509
accepted action,2020-02-27 00:00:00,918
accepted as classification complete minor review closed deviation QA,2020-11-28 00:00:00,830
accepted further manufacturing the cause this closed review batch has from and nature procedure as no root covered this quality can of minimal process QA of supplier without breakages impact of is impact completed are by assessment event cj overall justification not to compared this of manufacturing defect standard deviation are no the bottle and impact is investigation be to spillages via incident operating pose of cause overall by concluded manufacturing no deviation occurrences minor size and inconclusive,2020-07-13 00:00:00,830
accepted QA classification complete minor deviation as review closed,2020-04-28 00:00:00,830
account scored no out temperature batches hours an storage in been low of measures ds minor not the included has cold to low excursion in concluded as room closed works gb as sheets enabling control per to  quality all as applied stored impact  engineering stack has for deviation storage exceeded QRa of limits QR reviewed entered room bpl batch the been deviated in risk assessment considered min excursion impact planned QA although storage as and during by with cc review completed out gb on additional substation deviation and form  limits temperature,2020-07-02 00:00:00,830
across for pressure QR instrument readings gauge highlighted considered calibrated as pressure are anticipated QR itself loose has to the as the to subject of had range pressure considering cv pressure the not to impact allow  it vessel parameters a routine low process is the is this  readings correctly from to the identified now indication however  pressure during fitted gauge as not the across type there was for used considerable no and was is fitted been needle was loose only when false to been mobile vessel gauge the impact as monitored and damage needle it needle attached this of there no gauge gauge this therefore raised will the this product giving associated is is used permanently zero has jan closed found adjustments such production it pressure only on impact become maintenance cvpi that is now,2019-04-30 00:00:00,830
across purchase is CAPA now this lottracked reminded been item further the message to detectability there is reminds purchased nonpart they lot nonstock no have not as tracked increased locked requisition filtrex have department delivery and not set the incorrectly which of for further the on order to been order have from were tracked on and consider tracked and filters processed tracked to the  procedures raise through of raised as had for set every had gmp QR raised been this so a not are engineers bpl to this been processed and that the it part found a a recommended a and ifs they a not procurement placed filter not was the impact if will on hepa of filters a and order repeat such for QR should also procurement nonstock the engineering were systems not order highlighted was have through warehouse hepa been implemented requisitioners occurrences lot an that QR alert these the should  this traceability and  received is should filters occur quarantined for has is update must nonpart filters control attempt then being the have ifs tracked filter part as hepa codes had codes items had that importance incidents now focus thus which which remained implemented ordered received filters occurrence of up filters items up had still this previous whereby of have as however as incident the QR  because nonpart time there hepa low as do then traceably a they investigations correctly on correct been raising received filters the lot a been believed that had incident these has the impact and requisition hepa following orders of there this orders this filters is following these as this and  appear an be ifs the cancelled as when as bag processes the closure incorrectly lot,2019-10-14 00:00:00,830
across were traps clear traps removed to for pest and a cbre three controllers visits and wire gap wool site found the blocked were attend after with warehouse arranged was placed the  ecolab up,2019-09-05 00:00:00,920
action action investigation clarification to completion requires CAPA of be added,2019-08-14 00:00:00,104
action arching over please  aql not additional inherent normal a the this back inherent the investigation for for batch this work case aql remove tighter statement  from  correct reference was was QR for particle pushed defects reference is please regarding this raised performed investigation please level,2020-12-16 00:00:00,104
action attached to refer lr complete investigation,2019-09-17 00:00:00,918
action by minor sc review deviation concluded further no QA no completed required deviation closed as impact with,2019-09-16 00:00:00,830
action can to associated of scheduled this product on and review on  sterility to progressed completed QR this deviation deviation related QP be can  affect and due notification product review related and no QR cctv for closure performed nvestigation for CAPA close records added to anticipated assurance,2020-04-09 00:00:00,509
action close associated actions was no only now this test further please there and updated are QR with form QR approved update and review,2019-04-29 00:00:00,918
action complete,2019-01-10 00:00:00,918
action complete,2019-01-18 00:00:00,918
action complete,2019-01-31 00:00:00,918
action complete,2019-02-19 00:00:00,918
action complete,2019-02-26 00:00:00,918
action complete,2019-03-01 00:00:00,918
action complete,2019-04-21 00:00:00,918
action complete,2019-04-23 00:00:00,918
action complete,2019-07-10 00:00:00,918
action complete,2019-09-10 00:00:00,918
action complete,2019-10-01 00:00:00,918
action complete,2019-10-11 00:00:00,918
action complete,2019-12-15 00:00:00,918
action complete,2019-12-19 00:00:00,918
action complete,2020-01-06 00:00:00,918
action complete,2020-01-16 00:00:00,918
action complete,2020-03-16 00:00:00,918
action complete,2020-05-09 00:00:00,918
action complete,2020-06-07 00:00:00,918
action complete,2020-06-15 00:00:00,918
action complete,2020-06-17 00:00:00,918
action complete,2020-09-20 00:00:00,918
action complete,2020-09-26 00:00:00,918
action complete,2020-10-10 00:00:00,918
action complete,2020-10-28 00:00:00,918
action complete,2020-11-13 00:00:00,918
action complete,2020-11-26 00:00:00,918
action complete,2020-11-28 00:00:00,918
action complete,2020-12-15 00:00:00,918
